minecraft:missingno	x=68	y=0	w=16	h=16
minecraft:trims/entity/humanoid/bolt_amethyst	x=0	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_copper	x=0	y=64	w=64	h=32
minecraft:trims/entity/humanoid/bolt_copper_darker	x=128	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_diamond	x=128	y=36	w=64	h=32
minecraft:trims/entity/humanoid/bolt_diamond_darker	x=128	y=72	w=64	h=32
minecraft:trims/entity/humanoid/bolt_emerald	x=0	y=128	w=64	h=32
minecraft:trims/entity/humanoid/bolt_gold	x=68	y=128	w=64	h=32
minecraft:trims/entity/humanoid/bolt_gold_darker	x=136	y=128	w=64	h=32
minecraft:trims/entity/humanoid/bolt_iron	x=0	y=164	w=64	h=32
minecraft:trims/entity/humanoid/bolt_iron_darker	x=68	y=164	w=64	h=32
minecraft:trims/entity/humanoid/bolt_lapis	x=136	y=164	w=64	h=32
minecraft:trims/entity/humanoid/bolt_netherite	x=0	y=200	w=64	h=32
minecraft:trims/entity/humanoid/bolt_netherite_darker	x=68	y=200	w=64	h=32
minecraft:trims/entity/humanoid/bolt_quartz	x=136	y=200	w=64	h=32
minecraft:trims/entity/humanoid/bolt_redstone	x=256	y=0	w=64	h=32
minecraft:trims/entity/humanoid/bolt_resin	x=256	y=36	w=64	h=32
minecraft:trims/entity/humanoid/bolt_trim_palette	x=256	y=72	w=64	h=32
minecraft:trims/entity/humanoid/coast_amethyst	x=256	y=108	w=64	h=32
minecraft:trims/entity/humanoid/coast_copper	x=256	y=144	w=64	h=32
minecraft:trims/entity/humanoid/coast_copper_darker	x=256	y=180	w=64	h=32
minecraft:trims/entity/humanoid/coast_diamond	x=256	y=216	w=64	h=32
minecraft:trims/entity/humanoid/coast_diamond_darker	x=324	y=0	w=64	h=32
minecraft:trims/entity/humanoid/coast_emerald	x=324	y=36	w=64	h=32
minecraft:trims/entity/humanoid/coast_gold	x=324	y=72	w=64	h=32
minecraft:trims/entity/humanoid/coast_gold_darker	x=324	y=108	w=64	h=32
minecraft:trims/entity/humanoid/coast_iron	x=324	y=144	w=64	h=32
minecraft:trims/entity/humanoid/coast_iron_darker	x=324	y=180	w=64	h=32
minecraft:trims/entity/humanoid/coast_lapis	x=324	y=216	w=64	h=32
minecraft:trims/entity/humanoid/coast_netherite	x=392	y=0	w=64	h=32
minecraft:trims/entity/humanoid/coast_netherite_darker	x=392	y=36	w=64	h=32
minecraft:trims/entity/humanoid/coast_quartz	x=392	y=72	w=64	h=32
minecraft:trims/entity/humanoid/coast_redstone	x=392	y=108	w=64	h=32
minecraft:trims/entity/humanoid/coast_resin	x=392	y=144	w=64	h=32
minecraft:trims/entity/humanoid/coast_trim_palette	x=392	y=180	w=64	h=32
minecraft:trims/entity/humanoid/dune_amethyst	x=392	y=216	w=64	h=32
minecraft:trims/entity/humanoid/dune_copper	x=0	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_copper_darker	x=68	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_diamond	x=136	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_diamond_darker	x=204	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_emerald	x=272	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_gold	x=340	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_gold_darker	x=408	y=256	w=64	h=32
minecraft:trims/entity/humanoid/dune_iron	x=0	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_iron_darker	x=68	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_lapis	x=136	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_netherite	x=204	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_netherite_darker	x=272	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_quartz	x=340	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_redstone	x=408	y=292	w=64	h=32
minecraft:trims/entity/humanoid/dune_resin	x=0	y=328	w=64	h=32
minecraft:trims/entity/humanoid/dune_trim_palette	x=68	y=328	w=64	h=32
minecraft:trims/entity/humanoid/eye_amethyst	x=136	y=328	w=64	h=32
minecraft:trims/entity/humanoid/eye_copper	x=204	y=328	w=64	h=32
minecraft:trims/entity/humanoid/eye_copper_darker	x=272	y=328	w=64	h=32
minecraft:trims/entity/humanoid/eye_diamond	x=340	y=328	w=64	h=32
minecraft:trims/entity/humanoid/eye_diamond_darker	x=408	y=328	w=64	h=32
minecraft:trims/entity/humanoid/eye_emerald	x=0	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_gold	x=68	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_gold_darker	x=136	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_iron	x=204	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_iron_darker	x=272	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_lapis	x=340	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_netherite	x=408	y=364	w=64	h=32
minecraft:trims/entity/humanoid/eye_netherite_darker	x=0	y=400	w=64	h=32
minecraft:trims/entity/humanoid/eye_quartz	x=68	y=400	w=64	h=32
minecraft:trims/entity/humanoid/eye_redstone	x=136	y=400	w=64	h=32
minecraft:trims/entity/humanoid/eye_resin	x=204	y=400	w=64	h=32
minecraft:trims/entity/humanoid/eye_trim_palette	x=272	y=400	w=64	h=32
minecraft:trims/entity/humanoid/flow_amethyst	x=340	y=400	w=64	h=32
minecraft:trims/entity/humanoid/flow_copper	x=408	y=400	w=64	h=32
minecraft:trims/entity/humanoid/flow_copper_darker	x=0	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_diamond	x=68	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_diamond_darker	x=136	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_emerald	x=204	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_gold	x=272	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_gold_darker	x=340	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_iron	x=408	y=436	w=64	h=32
minecraft:trims/entity/humanoid/flow_iron_darker	x=0	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_lapis	x=68	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_netherite	x=136	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_netherite_darker	x=204	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_quartz	x=272	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_redstone	x=340	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_resin	x=408	y=472	w=64	h=32
minecraft:trims/entity/humanoid/flow_trim_palette	x=512	y=0	w=64	h=32
minecraft:trims/entity/humanoid/host_amethyst	x=512	y=36	w=64	h=32
minecraft:trims/entity/humanoid/host_copper	x=512	y=72	w=64	h=32
minecraft:trims/entity/humanoid/host_copper_darker	x=512	y=108	w=64	h=32
minecraft:trims/entity/humanoid/host_diamond	x=512	y=144	w=64	h=32
minecraft:trims/entity/humanoid/host_diamond_darker	x=512	y=180	w=64	h=32
minecraft:trims/entity/humanoid/host_emerald	x=512	y=216	w=64	h=32
minecraft:trims/entity/humanoid/host_gold	x=512	y=252	w=64	h=32
minecraft:trims/entity/humanoid/host_gold_darker	x=512	y=288	w=64	h=32
minecraft:trims/entity/humanoid/host_iron	x=512	y=324	w=64	h=32
minecraft:trims/entity/humanoid/host_iron_darker	x=512	y=360	w=64	h=32
minecraft:trims/entity/humanoid/host_lapis	x=512	y=396	w=64	h=32
minecraft:trims/entity/humanoid/host_netherite	x=512	y=432	w=64	h=32
minecraft:trims/entity/humanoid/host_netherite_darker	x=512	y=468	w=64	h=32
minecraft:trims/entity/humanoid/host_quartz	x=580	y=0	w=64	h=32
minecraft:trims/entity/humanoid/host_redstone	x=580	y=36	w=64	h=32
minecraft:trims/entity/humanoid/host_resin	x=580	y=72	w=64	h=32
minecraft:trims/entity/humanoid/host_trim_palette	x=580	y=108	w=64	h=32
minecraft:trims/entity/humanoid/raiser_amethyst	x=580	y=144	w=64	h=32
minecraft:trims/entity/humanoid/raiser_copper	x=580	y=180	w=64	h=32
minecraft:trims/entity/humanoid/raiser_copper_darker	x=580	y=216	w=64	h=32
minecraft:trims/entity/humanoid/raiser_diamond	x=580	y=252	w=64	h=32
minecraft:trims/entity/humanoid/raiser_diamond_darker	x=580	y=288	w=64	h=32
minecraft:trims/entity/humanoid/raiser_emerald	x=580	y=324	w=64	h=32
minecraft:trims/entity/humanoid/raiser_gold	x=580	y=360	w=64	h=32
minecraft:trims/entity/humanoid/raiser_gold_darker	x=580	y=396	w=64	h=32
minecraft:trims/entity/humanoid/raiser_iron	x=580	y=432	w=64	h=32
minecraft:trims/entity/humanoid/raiser_iron_darker	x=580	y=468	w=64	h=32
minecraft:trims/entity/humanoid/raiser_lapis	x=648	y=0	w=64	h=32
minecraft:trims/entity/humanoid/raiser_netherite	x=648	y=36	w=64	h=32
minecraft:trims/entity/humanoid/raiser_netherite_darker	x=648	y=72	w=64	h=32
minecraft:trims/entity/humanoid/raiser_quartz	x=648	y=108	w=64	h=32
minecraft:trims/entity/humanoid/raiser_redstone	x=648	y=144	w=64	h=32
minecraft:trims/entity/humanoid/raiser_resin	x=648	y=180	w=64	h=32
